Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Bruchhausen;7138008;Unkel;71385007.0
Dattenberg;7138009;Linz am Rhein;71385004.0
Datzeroth;7138010;Rengsdorf-Waldbreitbach;71385009.0
Dernbach;7138011;Puderbach;71385005.0
Dierdorf, Stadt;7138012;Dierdorf;71385003.0
Döttesfeld;7138013;Puderbach;71385005.0
Dürrholz;7138014;Puderbach;71385005.0
Ehlscheid;7138015;Rengsdorf-Waldbreitbach;71385009.0
Erpel;7138019;Unkel;71385007.0
Großmaischeid;7138023;Dierdorf;71385003.0
Hammerstein;7138024;Bad Hönningen;71385002.0
Hanroth;7138025;Puderbach;71385005.0
Hardert;7138026;Rengsdorf-Waldbreitbach;71385009.0
Harschbach;7138027;Puderbach;71385005.0
Hümmerich;7138030;Rengsdorf-Waldbreitbach;71385009.0
Isenburg;7138031;Dierdorf;71385003.0
Kleinmaischeid;7138034;Dierdorf;71385003.0
Kurtscheid;7138036;Rengsdorf-Waldbreitbach;71385009.0
Leubsdorf;7138037;Linz am Rhein;71385004.0
Leutesdorf;7138038;Bad Hönningen;71385002.0
Linkenbach;7138040;Puderbach;71385005.0
Linz am Rhein, Stadt;7138041;Linz am Rhein;71385004.0
Meinborn;7138042;Rengsdorf-Waldbreitbach;71385009.0
Melsbach;7138043;Rengsdorf-Waldbreitbach;71385009.0
Neustadt (Wied);7138044;Asbach;71385001.0
Neuwied, Stadt;7138045;Neuwied, Stadt;71380045.0
Niederbreitbach;7138047;Rengsdorf-Waldbreitbach;71385009.0
Niederhofen;7138048;Puderbach;71385005.0
Niederwambach;7138050;Puderbach;71385005.0
Oberdreis;7138052;Puderbach;71385005.0
Oberhonnefeld-Gierend;7138053;Rengsdorf-Waldbreitbach;71385009.0
Oberraden;7138054;Rengsdorf-Waldbreitbach;71385009.0
Ockenfels;7138055;Linz am Rhein;71385004.0
Puderbach;7138057;Puderbach;71385005.0
Ratzert;7138058;Puderbach;71385005.0
Raubach;7138059;Puderbach;71385005.0
Rengsdorf;7138061;Rengsdorf-Waldbreitbach;71385009.0
Rheinbreitbach;7138062;Unkel;71385007.0
Rheinbrohl;7138063;Bad Hönningen;71385002.0
Rodenbach bei Puderbach;7138064;Puderbach;71385005.0
Roßbach;7138065;Rengsdorf-Waldbreitbach;71385009.0
Rüscheid;7138066;Rengsdorf-Waldbreitbach;71385009.0
Sankt Katharinen (Landkreis Neuwied);7138068;Linz am Rhein;71385004.0
Stebach;7138069;Dierdorf;71385003.0
Steimel;7138070;Puderbach;71385005.0
Straßenhaus;7138071;Rengsdorf-Waldbreitbach;71385009.0
Thalhausen;7138072;Rengsdorf-Waldbreitbach;71385009.0
Unkel, Stadt;7138073;Unkel;71385007.0
Urbach;7138074;Puderbach;71385005.0
Vettelschoß;7138075;Linz am Rhein;71385004.0
Waldbreitbach;7138076;Rengsdorf-Waldbreitbach;71385009.0
Windhagen;7138077;Asbach;71385001.0
Woldert;7138078;Puderbach;71385005.0
Buchholz (Westerwald);7138080;Asbach;71385001.0
Marienhausen;7138201;Dierdorf;71385003.0
Kasbach-Ohlenberg;7138501;Linz am Rhein;71385004.0
Alterkülz;7140001;Kastellaun;71405003.0
Altweidelbach;7140002;Simmern;71405007.0
Argenthal;7140003;Rheinböllen;71405005.0
Badenhard;7140005;Emmelshausen;71405002.0
Bärenbach;7140006;Kirchberg (Hunsrück);71405004.0
Belg;7140007;Kirchberg (Hunsrück);71405004.0
Belgweiler;7140008;Simmern;71405007.0
Bell (Hunsrück);7140009;Kastellaun;71405003.0
Beltheim;7140010;Kastellaun;71405003.0
Benzweiler;7140011;Rheinböllen;71405005.0
Bergenhausen;7140012;Simmern;71405007.0
Bickenbach;7140014;Emmelshausen;71405002.0
Biebern;7140015;Simmern;71405007.0
Birkheim;7140016;Emmelshausen;71405002.0
Braunshorn;7140018;Kastellaun;71405003.0
Bubach;7140020;Simmern;71405007.0
Buch;7140021;Kastellaun;71405003.0
Budenbach;7140023;Simmern;71405007.0
Büchenbeuren;7140024;Kirchberg (Hunsrück);71405004.0
Damscheid;7140025;Sankt Goar-Oberwesel;71405006.0
Dichtelbach;7140027;Rheinböllen;71405005.0
Dickenschied;7140028;Kirchberg (Hunsrück);71405004.0
Dill;7140029;Kirchberg (Hunsrück);71405004.0
Dillendorf;7140030;Kirchberg (Hunsrück);71405004.0
Dörth;7140031;Emmelshausen;71405002.0
Ellern (Hunsrück);7140035;Rheinböllen;71405005.0
Emmelshausen, Stadt;7140036;Emmelshausen;71405002.0
Erbach;7140037;Rheinböllen;71405005.0
Fronhofen;7140039;Simmern;71405007.0
Gehlweiler;7140040;Kirchberg (Hunsrück);71405004.0
Gemünden;7140041;Kirchberg (Hunsrück);71405004.0
Gödenroth;7140042;Kastellaun;71405003.0
Gondershausen;7140043;Emmelshausen;71405002.0
Hahn;7140044;Kirchberg (Hunsrück);71405004.0
Halsenbach;7140045;Emmelshausen;71405002.0
Hasselbach;7140046;Kastellaun;71405003.0
Hausbay;7140047;Emmelshausen;71405002.0
Hecken;7140048;Kirchberg (Hunsrück);71405004.0
Heinzenbach;7140049;Kirchberg (Hunsrück);71405004.0
Henau;7140050;Kirchberg (Hunsrück);71405004.0
Hirschfeld (Hunsrück);7140053;Kirchberg (Hunsrück);71405004.0
Hollnich;7140055;Kastellaun;71405003.0
Holzbach;7140056;Simmern;71405007.0
Horn;7140058;Simmern;71405007.0
Hungenroth;7140060;Emmelshausen;71405002.0
Kappel;7140062;Kirchberg (Hunsrück);71405004.0
Karbach;7140063;Emmelshausen;71405002.0
Kastellaun, Stadt;7140064;Kastellaun;71405003.0
Keidelheim;7140065;Simmern;71405007.0
Kirchberg (Hunsrück), Stadt;7140067;Kirchberg (Hunsrück);71405004.0
Kisselbach;7140068;Rheinböllen;71405005.0
Klosterkumbd;7140070;Simmern;71405007.0
Kludenbach;7140071;Kirchberg (Hunsrück);71405004.0
Korweiler;7140073;Kastellaun;71405003.0
Kratzenburg;7140075;Emmelshausen;71405002.0
Külz (Hunsrück);7140076;Simmern;71405007.0
Kümbdchen;7140077;Simmern;71405007.0
Laubach;7140079;Simmern;71405007.0
Laudert;7140080;Sankt Goar-Oberwesel;71405006.0
Laufersweiler;7140081;Kirchberg (Hunsrück);71405004.0
Lautzenhausen;7140082;Kirchberg (Hunsrück);71405004.0
Leiningen;7140084;Emmelshausen;71405002.0
Liebshausen;7140085;Rheinböllen;71405005.0
Lindenschied;7140086;Kirchberg (Hunsrück);71405004.0
Lingerhahn;7140087;Emmelshausen;71405002.0
Maisborn;7140089;Emmelshausen;71405002.0
Maitzborn;7140090;Kirchberg (Hunsrück);71405004.0
Mengerschied;7140092;Simmern;71405007.0
Mermuth;7140093;Emmelshausen;71405002.0
Metzenhausen;7140094;Kirchberg (Hunsrück);71405004.0
Michelbach;7140095;Kastellaun;71405003.0
Mörschbach;7140096;Rheinböllen;71405005.0
Mühlpfad;7140098;Emmelshausen;71405002.0
Mutterschied;7140099;Simmern;71405007.0
Nannhausen;7140100;Simmern;71405007.0
Neuerkirch;7140101;Simmern;71405007.0
Ney;7140102;Emmelshausen;71405002.0
Niederburg;7140104;Sankt Goar-Oberwesel;71405006.0
Nieder Kostenz;7140105;Kirchberg (Hunsrück);71405004.0
Niederkumbd;7140106;Simmern;71405007.0
Niedersohren;7140107;Kirchberg (Hunsrück);71405004.0
Niedert;7140108;Emmelshausen;71405002.0
Niederweiler;7140109;Kirchberg (Hunsrück);71405004.0
Norath;7140110;Emmelshausen;71405002.0
Ober Kostenz;7140111;Kirchberg (Hunsrück);71405004.0
Oberwesel, Stadt;7140112;Sankt Goar-Oberwesel;71405006.0
Ohlweiler;7140113;Simmern;71405007.0
Oppertshausen;7140115;Simmern;71405007.0
Perscheid;7140116;Sankt Goar-Oberwesel;71405006.0
Pfalzfeld;7140117;Emmelshausen;71405002.0
Pleizenhausen;7140118;Simmern;71405007.0
Ravengiersburg;7140119;Simmern;71405007.0
Raversbeuren;7140120;Kirchberg (Hunsrück);71405004.0
Rayerschied;7140121;Simmern;71405007.0
Reckershausen;7140122;Kirchberg (Hunsrück);71405004.0
Reich;7140123;Simmern;71405007.0
Rheinböllen, Stadt;7140125;Rheinböllen;71405005.0
Riegenroth;7140126;Simmern;71405007.0
Riesweiler;7140127;Rheinböllen;71405005.0
Rödelhausen;7140128;Kirchberg (Hunsrück);71405004.0
Rödern;7140129;Kirchberg (Hunsrück);71405004.0
Rohrbach;7140130;Kirchberg (Hunsrück);71405004.0
Roth;7140131;Kastellaun;71405003.0
Sankt Goar, Stadt;7140133;Sankt Goar-Oberwesel;71405006.0
Sargenroth;7140134;Simmern;71405007.0
Schlierschied;7140135;Kirchberg (Hunsrück);71405004.0
Schnorbach;7140138;Rheinböllen;71405005.0
Schönborn;7140139;Simmern;71405007.0
Schwall;7140140;Emmelshausen;71405002.0
Schwarzen;7140141;Kirchberg (Hunsrück);71405004.0
Simmern/ Hunsrück, Stadt;7140144;Simmern;71405007.0
Sohren;7140145;Kirchberg (Hunsrück);71405004.0
Sohrschied;7140146;Kirchberg (Hunsrück);71405004.0
Spesenroth;7140147;Kastellaun;71405003.0
Steinbach;7140148;Rheinböllen;71405005.0
Thörlingen;7140149;Emmelshausen;71405002.0
Tiefenbach;7140150;Simmern;71405007.0
Todenroth;7140151;Kirchberg (Hunsrück);71405004.0
Uhler;7140153;Kastellaun;71405003.0
Unzenberg;7140154;Kirchberg (Hunsrück);71405004.0
Urbar;7140155;Sankt Goar-Oberwesel;71405006.0
Utzenhain;7140156;Emmelshausen;71405002.0
Wahlbach;7140158;Simmern;71405007.0
Wahlenau;7140159;Kirchberg (Hunsrück);71405004.0
Wiebelsheim;7140161;Sankt Goar-Oberwesel;71405006.0
Womrath;7140163;Kirchberg (Hunsrück);71405004.0
Woppenroth;7140164;Kirchberg (Hunsrück);71405004.0
Würrich;7140165;Kirchberg (Hunsrück);71405004.0
Wüschheim;7140166;Simmern;71405007.0
Beulich;7140201;Emmelshausen;71405002.0
Dommershausen;7140202;Kastellaun;71405003.0
Mastershausen;7140204;Kastellaun;71405003.0
Morshausen;7140205;Emmelshausen;71405002.0
Boppard, Stadt;7140501;Boppard, Stadt;71400501.0
Lahr;7140502;Kastellaun;71405003.0
Mörsdorf;7140503;Kastellaun;71405003.0
Zilshausen;7140504;Kastellaun;71405003.0
Allendorf;7141001;Aar-Einrich;71415011.0
Altendiez;7141002;Diez;71415003.0
Attenhausen;7141003;Bad Ems-Nassau;71415010.0
Auel;7141004;Loreley;71415009.0
Aull;7141005;Diez;71415003.0
Bad Ems, Stadt;7141006;Bad Ems-Nassau;71415010.0
Becheln;7141008;Bad Ems-Nassau;71415010.0
Berg;7141009;Nastätten;71415007.0
Berghausen;7141010;Aar-Einrich;71415011.0
Berndroth;7141011;Aar-Einrich;71415011.0
Bettendorf;7141012;Nastätten;71415007.0
Biebrich;7141013;Aar-Einrich;71415011.0
Birlenbach;7141014;Diez;71415003.0
Bogel;7141015;Nastätten;71415007.0
Bornich;7141016;Loreley;71415009.0
Bremberg;7141018;Aar-Einrich;71415011.0
Buch;7141019;Nastätten;71415007.0
Burgschwalbach;7141020;Aar-Einrich;71415011.0
Charlottenberg;7141021;Diez;71415003.0
Cramberg;7141022;Diez;71415003.0
Dachsenhausen;7141023;Loreley;71415009.0
Dahlheim;7141024;Loreley;71415009.0
Dausenau;7141025;Bad Ems-Nassau;71415010.0
Dessighofen;7141026;Bad Ems-Nassau;71415010.0
Dienethal;7141027;Bad Ems-Nassau;71415010.0
Diez, Stadt;7141029;Diez;71415003.0
Dörnberg;7141030;Diez;71415003.0
Dörscheid;7141031;Loreley;71415009.0
Dörsdorf;7141032;Aar-Einrich;71415011.0
Dornholzhausen;7141033;Bad Ems-Nassau;71415010.0
Ebertshausen;7141034;Aar-Einrich;71415011.0
Ehr;7141035;Nastätten;71415007.0
Eisighofen;7141036;Aar-Einrich;71415011.0
Endlichhofen;7141037;Nastätten;71415007.0
Eppenrod;7141038;Diez;71415003.0
Ergeshausen;7141039;Aar-Einrich;71415011.0
Eschbach;7141040;Nastätten;71415007.0
Fachbach;7141041;Bad Ems-Nassau;71415010.0
Filsen;7141042;Loreley;71415009.0
Flacht;7141043;Aar-Einrich;71415011.0
Frücht;7141044;Bad Ems-Nassau;71415010.0
Geilnau;7141045;Diez;71415003.0
Geisig;7141046;Bad Ems-Nassau;71415010.0
Gemmerich;7141047;Nastätten;71415007.0
Gückingen;7141049;Diez;71415003.0
Gutenacker;7141050;Aar-Einrich;71415011.0
Hahnstätten;7141051;Aar-Einrich;71415011.0
Hambach;7141052;Diez;71415003.0
Heistenbach;7141053;Diez;71415003.0
Herold;7141054;Aar-Einrich;71415011.0
Himmighofen;7141055;Nastätten;71415007.0
Hirschberg;7141057;Diez;71415003.0
Hömberg;7141058;Bad Ems-Nassau;71415010.0
Holzappel;7141059;Diez;71415003.0
Holzhausen an der Haide;7141060;Nastätten;71415007.0
Holzheim;7141061;Diez;71415003.0
Horhausen;7141062;Diez;71415003.0
Hunzel;7141063;Nastätten;71415007.0
Isselbach;7141064;Diez;71415003.0
Kaltenholzhausen;7141065;Aar-Einrich;71415011.0
Kamp-Bornhofen;7141066;Loreley;71415009.0
Kasdorf;7141067;Nastätten;71415007.0
Katzenelnbogen, Stadt;7141068;Aar-Einrich;71415011.0
Kaub, Stadt;7141069;Loreley;71415009.0
Kehlbach;7141070;Nastätten;71415007.0
Kemmenau;7141071;Bad Ems-Nassau;71415010.0
Kestert;7141072;Loreley;71415009.0
Klingelbach;7141073;Aar-Einrich;71415011.0
Kördorf;7141074;Aar-Einrich;71415011.0
Lahnstein, Stadt;7141075;Lahnstein, Stadt;71410075.0
Langenscheid;7141076;Diez;71415003.0
Laurenburg;7141077;Diez;71415003.0
Lautert;7141078;Nastätten;71415007.0
Lierschied;7141079;Loreley;71415009.0
Lipporn;7141080;Nastätten;71415007.0
Lohrheim;7141081;Aar-Einrich;71415011.0
Lollschied;7141082;Bad Ems-Nassau;71415010.0
Lykershausen;7141083;Loreley;71415009.0
Marienfels;7141084;Nastätten;71415007.0
Miehlen;7141085;Nastätten;71415007.0
Miellen;7141086;Bad Ems-Nassau;71415010.0
Misselberg;7141087;Bad Ems-Nassau;71415010.0
Mittelfischbach;7141088;Aar-Einrich;71415011.0
Mudershausen;7141089;Aar-Einrich;71415011.0
Nassau, Stadt;7141091;Bad Ems-Nassau;71415010.0
Nastätten, Stadt;7141092;Nastätten;71415007.0
Netzbach;7141093;Aar-Einrich;71415011.0
Niederbachheim;7141094;Nastätten;71415007.0
Niederneisen;7141095;Aar-Einrich;71415011.0
Niedertiefenbach;7141096;Aar-Einrich;71415011.0
Niederwallmenach;7141097;Nastätten;71415007.0
Nievern;7141098;Bad Ems-Nassau;71415010.0
Nochern;7141099;Loreley;71415009.0
Oberbachheim;7141100;Nastätten;71415007.0
Oberfischbach;7141101;Aar-Einrich;71415011.0
Oberneisen;7141102;Aar-Einrich;71415011.0
Obernhof;7141103;Bad Ems-Nassau;71415010.0
Obertiefenbach;7141104;Nastätten;71415007.0
Oberwallmenach;7141105;Nastätten;71415007.0
Oberwies;7141106;Bad Ems-Nassau;71415010.0
Oelsberg;7141107;Nastätten;71415007.0
Osterspai;7141108;Loreley;71415009.0
Patersberg;7141109;Loreley;71415009.0
Hainau;7141110;Nastätten;71415007.0
Pohl;7141111;Bad Ems-Nassau;71415010.0
Prath;7141112;Loreley;71415009.0
Reckenroth;7141113;Aar-Einrich;71415011.0
Reichenberg;7141114;Loreley;71415009.0
Reitzenhain;7141115;Loreley;71415009.0
Rettershain;7141116;Nastätten;71415007.0
Rettert;7141117;Aar-Einrich;71415011.0
Roth;7141118;Aar-Einrich;71415011.0
Ruppertshofen;7141120;Nastätten;71415007.0
Sankt Goarshausen, Loreleystadt, Stadt;7141121;Loreley;71415009.0
Sauerthal;7141122;Loreley;71415009.0
Scheidt;7141124;Diez;71415003.0
Schiesheim;7141125;Aar-Einrich;71415011.0
Schönborn;7141126;Aar-Einrich;71415011.0
Schweighausen;7141127;Bad Ems-Nassau;71415010.0
Seelbach;7141128;Bad Ems-Nassau;71415010.0
Singhofen;7141129;Bad Ems-Nassau;71415010.0
Steinsberg;7141130;Diez;71415003.0
Strüth;7141131;Nastätten;71415007.0
Sulzbach;7141132;Bad Ems-Nassau;71415010.0
Wasenbach;7141133;Diez;71415003.0
Weidenbach;7141134;Nastätten;71415007.0
Weinähr;7141135;Bad Ems-Nassau;71415010.0
Weisel;7141136;Loreley;71415009.0
Welterod;7141137;Nastätten;71415007.0
Weyer;7141138;Loreley;71415009.0
Winden;7141139;Bad Ems-Nassau;71415010.0
Winterwerb;7141140;Nastätten;71415007.0
Zimmerschied;7141141;Bad Ems-Nassau;71415010.0
Arzbach;7141201;Bad Ems-Nassau;71415010.0
Braubach, Stadt;7141501;Loreley;71415009.0
Diethardt;7141502;Nastätten;71415007.0
Balduinstein;7141503;Diez;71415003.0
Alsbach;7143001;Ransbach-Baumbach;71435005.0
Bannberscheid;7143003;Wirges;71435010.0
Boden;7143005;Montabaur;71435004.0
Breitenau;7143006;Ransbach-Baumbach;71435005.0
Caan;7143007;Ransbach-Baumbach;71435005.0
Daubach;7143008;Montabaur;71435004.0
Deesen;7143009;Ransbach-Baumbach;71435005.0
Dernbach (Westerwald);7143010;Wirges;71435010.0
Dreikirchen;7143011;Wallmerod;71435008.0
Ebernhahn;7143012;Wirges;71435010.0
Eitelborn;7143013;Montabaur;71435004.0
Ellenhausen;7143015;Selters (Westerwald);71435007.0
Freilingen;7143018;Selters (Westerwald);71435007.0
Freirachdorf;7143019;Selters (Westerwald);71435007.0
Gackenbach;7143020;Montabaur;71435004.0
Girod;7143021;Montabaur;71435004.0
Goddert;7143022;Selters (Westerwald);71435007.0
Görgeshausen;7143023;Montabaur;71435004.0
Großholbach;7143024;Montabaur;71435004.0
Hartenfels;7143025;Selters (Westerwald);71435007.0
Heilberscheid;7143026;Montabaur;71435004.0
Heiligenroth;7143027;Montabaur;71435004.0
Helferskirchen;7143028;Wirges;71435010.0
Herschbach;7143029;Selters (Westerwald);71435007.0
Hilgert;7143030;Höhr-Grenzhausen;71435003.0
Hillscheid;7143031;Höhr-Grenzhausen;71435003.0
Höhr-Grenzhausen, Stadt;7143032;Höhr-Grenzhausen;71435003.0
Holler;7143033;Montabaur;71435004.0
Horbach;7143034;Montabaur;71435004.0
Hübingen;7143036;Montabaur;71435004.0
Hundsangen;7143037;Wallmerod;71435008.0
Hundsdorf;7143038;Ransbach-Baumbach;71435005.0
Kadenbach;7143039;Montabaur;71435004.0
Kammerforst;7143040;Höhr-Grenzhausen;71435003.0
Krümmel;7143041;Selters (Westerwald);71435007.0
Leuterod;7143042;Wirges;71435010.0
Marienrachdorf;7143044;Selters (Westerwald);71435007.0
Maroth;7143045;Selters (Westerwald);71435007.0
Maxsain;7143046;Selters (Westerwald);71435007.0
Mogendorf;7143047;Wirges;71435010.0
Montabaur, Stadt;7143048;Montabaur;71435004.0
Moschheim;7143049;Wirges;71435010.0
Nauort;7143050;Ransbach-Baumbach;71435005.0
Nentershausen;7143051;Montabaur;71435004.0
Neuhäusel;7143052;Montabaur;71435004.0
Niederelbert;7143053;Montabaur;71435004.0
Niedererbach;7143054;Montabaur;71435004.0
Nomborn;7143055;Montabaur;71435004.0
Nordhofen;7143056;Selters (Westerwald);71435007.0
Oberelbert;7143057;Montabaur;71435004.0
Obererbach;7143058;Wallmerod;71435008.0
Oberhaid;7143059;Ransbach-Baumbach;71435005.0
Ötzingen;7143060;Wirges;71435010.0
Quirnbach;7143061;Selters (Westerwald);71435007.0
Ransbach-Baumbach, Stadt;7143062;Ransbach-Baumbach;71435005.0
Rückeroth;7143064;Selters (Westerwald);71435007.0
Ruppach-Goldhausen;7143065;Montabaur;71435004.0
Schenkelberg;7143066;Selters (Westerwald);71435007.0
Selters (Westerwald), Stadt;7143067;Selters (Westerwald);71435007.0
Sessenbach;7143068;Ransbach-Baumbach;71435005.0
Sessenhausen;7143069;Selters (Westerwald);71435007.0
Siershahn;7143070;Wirges;71435010.0
Simmern;7143071;Montabaur;71435004.0
Stahlhofen;7143072;Montabaur;71435004.0
Staudt;7143073;Wirges;71435010.0
Steinefrenz;7143074;Wallmerod;71435008.0
Steinen;7143075;Selters (Westerwald);71435007.0
Untershausen;7143077;Montabaur;71435004.0
Vielbach;7143078;Selters (Westerwald);71435007.0
Welschneudorf;7143079;Montabaur;71435004.0
Weroth;7143080;Wallmerod;71435008.0
Wirges, Stadt;7143081;Wirges;71435010.0
Wirscheid;7143082;Ransbach-Baumbach;71435005.0
Wittgert;7143084;Ransbach-Baumbach;71435005.0
Wölferlingen;7143085;Selters (Westerwald);71435007.0
Ailertchen;7143200;Westerburg;71435009.0
Alpenrod;7143202;Hachenburg;71435002.0
Arnshöfen;7143203;Wallmerod;71435008.0
Astert;7143204;Hachenburg;71435002.0
Atzelgift;7143205;Hachenburg;71435002.0
Bad Marienberg (Westerwald), Stadt;7143206;Bad Marienberg (Westerwald);71435001.0
Bellingen;7143207;Westerburg;71435009.0
Berod bei Wallmerod;7143208;Wallmerod;71435008.0
Berzhahn;7143209;Westerburg;71435009.0
Bilkheim;7143210;Wallmerod;71435008.0
Bölsberg;7143211;Bad Marienberg (Westerwald);71435001.0
Borod;7143212;Hachenburg;71435002.0
Brandscheid;7143213;Westerburg;71435009.0
Bretthausen;7143214;Rennerod;71435006.0
Dreifelden;7143215;Hachenburg;71435002.0
Dreisbach;7143216;Bad Marienberg (Westerwald);71435001.0
Elsoff (Westerwald);7143218;Rennerod;71435006.0
Enspel;7143219;Westerburg;71435009.0
Ettinghausen;7143220;Wallmerod;71435008.0
Ewighausen;7143221;Selters (Westerwald);71435007.0
Fehl-Ritzhausen;7143222;Bad Marienberg (Westerwald);71435001.0
Gehlert;7143223;Hachenburg;71435002.0
Gemünden;7143224;Westerburg;71435009.0
Giesenhausen;7143225;Hachenburg;71435002.0
Girkenroth;7143226;Westerburg;71435009.0
Großseifen;7143227;Bad Marienberg (Westerwald);71435001.0
Guckheim;7143228;Westerburg;71435009.0
Hachenburg, Stadt;7143229;Hachenburg;71435002.0
Härtlingen;7143230;Westerburg;71435009.0
Hahn bei Marienberg;7143231;Bad Marienberg (Westerwald);71435001.0
Hahn am See;7143232;Wallmerod;71435008.0
Halbs;7143233;Westerburg;71435009.0
Hardt;7143234;Bad Marienberg (Westerwald);71435001.0
Hattert;7143235;Hachenburg;71435002.0
Heimborn;7143236;Hachenburg;71435002.0
Hellenhahn-Schellenberg;7143237;Rennerod;71435006.0
Hergenroth;7143238;Westerburg;71435009.0
Herschbach (Oberwesterwald);7143239;Wallmerod;71435008.0
Heuzert;7143240;Hachenburg;71435002.0
Höchstenbach;7143241;Hachenburg;71435002.0
Höhn;7143242;Westerburg;71435009.0
Hof;7143243;Bad Marienberg (Westerwald);71435001.0
Homberg;7143244;Rennerod;71435006.0
Hüblingen;7143245;Rennerod;71435006.0
Irmtraut;7143246;Rennerod;71435006.0
Kaden;7143247;Westerburg;71435009.0
Kirburg;7143248;Bad Marienberg (Westerwald);71435001.0
Kölbingen;7143249;Westerburg;71435009.0
Kroppach;7143250;Hachenburg;71435002.0
Kuhnhöfen;7143251;Wallmerod;71435008.0
Kundert;7143252;Hachenburg;71435002.0
Langenbach bei Kirburg;7143253;Bad Marienberg (Westerwald);71435001.0
Langenhahn;7143254;Westerburg;71435009.0
Lautzenbrücken;7143255;Bad Marienberg (Westerwald);71435001.0
Liebenscheid;7143256;Rennerod;71435006.0
Limbach;7143257;Hachenburg;71435002.0
Linden;7143258;Hachenburg;71435002.0
Lochum;7143259;Hachenburg;71435002.0
Luckenbach;7143260;Hachenburg;71435002.0
Marzhausen;7143261;Hachenburg;71435002.0
Merkelbach;7143262;Hachenburg;71435002.0
Meudt;7143263;Wallmerod;71435008.0
Mörlen;7143264;Bad Marienberg (Westerwald);71435001.0
Mörsbach;7143265;Hachenburg;71435002.0
Molsberg;7143266;Wallmerod;71435008.0
Mudenbach;7143267;Hachenburg;71435002.0
Mündersbach;7143268;Hachenburg;71435002.0
Müschenbach;7143269;Hachenburg;71435002.0
Neunkhausen;7143270;Bad Marienberg (Westerwald);71435001.0
Neunkirchen;7143271;Rennerod;71435006.0
Neustadt/ Westerwald;7143272;Rennerod;71435006.0
Niederahr;7143273;Wallmerod;71435008.0
Niederroßbach;7143274;Rennerod;71435006.0
Niedersayn;7143275;Wirges;71435010.0
Nister;7143276;Hachenburg;71435002.0
Nisterau;7143277;Bad Marienberg (Westerwald);71435001.0
Nister-Möhrendorf;7143278;Rennerod;71435006.0
Nistertal;7143279;Bad Marienberg (Westerwald);71435001.0
Norken;7143280;Bad Marienberg (Westerwald);71435001.0
Oberahr;7143281;Wallmerod;71435008.0
Oberrod;7143282;Rennerod;71435006.0
Oberroßbach;7143283;Rennerod;71435006.0
Pottum;7143284;Westerburg;71435009.0
Rehe;7143285;Rennerod;71435006.0
Rennerod, Stadt;7143286;Rennerod;71435006.0
Roßbach;7143287;Hachenburg;71435002.0
Rotenhain;7143288;Westerburg;71435009.0
Rothenbach;7143289;Westerburg;71435009.0
Salz;7143290;Wallmerod;71435008.0
Salzburg;7143291;Rennerod;71435006.0
Seck;7143292;Rennerod;71435006.0
Stahlhofen am Wiesensee;7143293;Westerburg;71435009.0
Steinebach an der Wied;7143294;Hachenburg;71435002.0
Stein-Neukirch;7143295;Rennerod;71435006.0
Stein-Wingert;7143296;Hachenburg;71435002.0
Stockhausen-Illfurth;7143297;Bad Marienberg (Westerwald);71435001.0
Stockum-Püschen;7143298;Westerburg;71435009.0
Streithausen;7143299;Hachenburg;71435002.0
Unnau;7143300;Bad Marienberg (Westerwald);71435001.0
Wahlrod;7143301;Hachenburg;71435002.0
Waigandshain;7143302;Rennerod;71435006.0
Waldmühlen;7143303;Rennerod;71435006.0
Wallmerod;7143304;Wallmerod;71435008.0
Weidenhahn;7143305;Selters (Westerwald);71435007.0
Welkenbach;7143306;Hachenburg;71435002.0
Weltersburg;7143307;Westerburg;71435009.0
Westerburg, Stadt;7143308;Westerburg;71435009.0
Westernohe;7143309;Rennerod;71435006.0
Wied;7143310;Hachenburg;71435002.0
Willingen;7143311;Rennerod;71435006.0
Willmenrod;7143312;Westerburg;71435009.0
Winkelbach;7143313;Hachenburg;71435002.0
Winnen;7143314;Westerburg;71435009.0
Zehnhausen bei Rennerod;7143315;Rennerod;71435006.0
Zehnhausen bei Wallmerod;7143316;Wallmerod;71435008.0
Elbingen;7143501;Wallmerod;71435008.0
Mähren;7143502;Wallmerod;71435008.0
Trier, Stadt;7211000;Trier, Stadt;72110000.0
Altrich;7231001;Wittlich-Land;72315008.0
Arenrath;7231003;Wittlich-Land;72315008.0
Bausendorf;7231004;Traben-Trarbach;72315009.0
Bengel;7231005;Traben-Trarbach;72315009.0
Berglicht;7231006;Thalfang am Erbeskopf;72315006.0
Bergweiler;7231007;Wittlich-Land;72315008.0
Bernkastel-Kues, Stadt;7231008;Bernkastel-Kues;72315001.0
Bettenfeld;7231009;Wittlich-Land;72315008.0
Binsfeld;7231010;Wittlich-Land;72315008.0
Brauneberg;7231012;Bernkastel-Kues;72315001.0
Bruch;7231013;Wittlich-Land;72315008.0
Burg (Mosel);7231014;Traben-Trarbach;72315009.0
Burgen;7231016;Bernkastel-Kues;72315001.0
Burtscheid;7231017;Thalfang am Erbeskopf;72315006.0
Deuselbach;7231018;Thalfang am Erbeskopf;72315006.0
Dhronecken;7231019;Thalfang am Erbeskopf;72315006.0
Diefenbach;7231020;Traben-Trarbach;72315009.0
Dierfeld;7231021;Wittlich-Land;72315008.0
Dierscheid;7231022;Wittlich-Land;72315008.0
